"If you want to 100% check your qb vs this list, the only way I know is to copy/paste your qb from /qb list # command BELOW the last row of this column. Then do a Find and Replace under Edit, Find the following without quotes """" and replace with nothing. After you do this any qb you already have will be highlighted, you can then filter out these higlights using filter by color. (if you need help message Angrboa)",,,,,
Asherons Call Custom Quest QB List,QBs Tracked: 3959,,,,
GaerlanShield,Gaerlan's_Citadel,,,Player has received the corresponding reward.,FALSE
GaerlanSpear,Gaerlan's_Citadel,,,Player has received the corresponding reward.,FALSE
GaerlanStaff,Gaerlan's_Citadel,,,Player has received the corresponding reward.,FALSE
GaerlanStave,Gaerlan's_Citadel,,,Player has received the corresponding reward.,FALSE
GaerlanSword,Gaerlan's_Citadel,,,Player has received the corresponding reward.,FALSE
GaerlanWarhammer,Gaerlan's_Citadel,,,Player has received the corresponding reward.,FALSE
EmberBrightGivenNew,Invoker_Quest,,,Player has received the Bright Ember from Aun Tanua. Created for the March 2004 revision.,FALSE
EmberBrightGiven,Invoker_Quest,,,Player has received the Bright Ember from Aun Tanua,FALSE
PortalSpacePermissionGiven,Portal_Space_Research,,,Player has received permission to enter the Portal Space dungeon. Created for the March 2004 revision.,FALSE
NightClubEntrance1204,Non-quest,,,Player has received permission to enter the Night Club duneon! Created for the December 2004 revision.,FALSE
DireVirindiTitle,Dire_Champions,,,Player has received Dire Champion Virindi Title.,FALSE
DireSkeletonTitle,Dire_Champions,,,Player has received Dire Champion Skeleton Title.,FALSE
DireShadowTitle,Dire_Champions,,,Player has received Dire Champion Shadow Title.,FALSE
DireLugianTitle,Dire_Champions,,,Player has received Dire Champion Lugian Title.,FALSE
DireGolemTitle,Dire_Champions,,,Player has received Dire Champion Golem Title.,FALSE
DireDrudgeTitle,Dire_Champions,,,Player has received Dire Champion Drudge Title.,FALSE
DireBanderlingTitle,Dire_Champions,,,Player has received Dire Champion Banderling Title.,FALSE
GiftGopher_List,,,,Player has received a list.,FALSE
TuskerHelm,Aerbax's_Prodigal_Tusker,,,Player has put on the Tusker Skull Helm.,FALSE
RenegadeVaultKey_Pickup,Renegade_Living_Weapons,,,Player has picked up Vault Key in the 120+ Renegade Fortress.,FALSE
UnfinishedDericostPhylactery_Pickup,Ruschk_Aspect_of_Grael_Quest,,,Player has picked up Unfinished Dericost Phylactery,FALSE
AtlatlStatuePickUp,Retired,,,Player has picked up this weapons and cannot pick up another one for 1 day,FALSE
AxeBattleStatuePickUp,Retired,,,Player has picked up this weapons and cannot pick up another one for 1 day,FALSE
AxeCragStatuePickUp,Retired,,,Player has picked up this weapons and cannot pick up another one for 1 day,FALSE
AxeSickleStatuePickUp,Retired,,,Player has picked up this weapons and cannot pick up another one for 1 day,FALSE
BowStatuePickUp,Retired,,,Player has picked up this weapons and cannot pick up another one for 1 day,FALSE
CestusStatuePickUp,Retired,,,Player has picked up this weapons and cannot pick up another one for 1 day,FALSE
DaggerStatuePickUp,Retired,,,Player has picked up this weapons and cannot pick up another one for 1 day,FALSE
MorningStatuePickUp,Retired,,,Player has picked up this weapons and cannot pick up another one for 1 day,FALSE
SimiStatuePickUp,Retired,,,Player has picked up this weapons and cannot pick up another one for 1 day,FALSE
SpearStatuePickUp,Retired,,,Player has picked up this weapons and cannot pick up another one for 1 day,FALSE
StaffStatuePickUp,Retired,,,Player has picked up this weapons and cannot pick up another one for 1 day,FALSE
SwordLongStatuePickUp,Retired,,,Player has picked up this weapons and cannot pick up another one for 1 day,FALSE
SwordShortStatuePickUp,Retired,,,Player has picked up this weapons and cannot pick up another one for 1 day,FALSE
TachiStatuePickUp,Retired,,,Player has picked up this weapons and cannot pick up another one for 1 day,FALSE
XbowStatuePickUp,Retired,,,Player has picked up this weapons and cannot pick up another one for 1 day,FALSE
ShieldCragstoneStatuePickUp,Retired,,,Player has picked up this shield and cannot pick up another one for 1 day,FALSE
ShieldKiteStatuePickUp,Retired,,,Player has picked up this shield and cannot pick up another one for 1 day,FALSE
ShieldRoundStatuePickUp,Retired,,,Player has picked up this shield and cannot pick up another one for 1 day,FALSE
ShieldTowerStatuePickUp,Retired,,,Player has picked up this shield and cannot pick up another one for 1 day,FALSE
UntranslatedBoundFalatacotFragment_Pickup,Whispering_Blade_Chapterhouse_Access,,,Player has picked up the Untranslated Bound Falatacot Fragment,FALSE
NorthernPedestalShard_Pickup,Bur_Portal_Summoning_(Low),,,Player has picked up the Shard of the Northern Pedestal.,FALSE
EasternPedestalShard_Pickup,Bur_Portal_Summoning_(Mid),,,Player has picked up the Shard of the Eastern Pedestal.,FALSE
MartineRobe,Gaerlan's_Citadel,,,Player has picked up the Robe.,FALSE
RingoftheSummoningAdepts_Pickup,Whispering_Blade_Chapterhouse_Access,,,Player has picked up the Ring of the Summoning Adepts,FALSE
QualityImprintingMote_Pickup,Gift_Box_Quest,,,Player has picked up the Quality Imprinting Mote at the bottom of Crystal Mine Extreme.,FALSE
GemNewbiePickedUp,Retired,,,Player has picked up the portal gem (removed from game),FALSE
MartineMask,Gaerlan's_Citadel,,,Player has picked up the Mask.,FALSE
KeyHammerEmpyreanLightningPickup,Empyrean_Lightning_Propylaeum_Quest,,,Player has picked up the Lightning hammer.,FALSE
PrismFragmentLightningPickup,Empyrean_Lightning_Propylaeum_Quest,,,Player has picked up the Lightning Fragment,FALSE
ImprintingMote_Pickup,Crafting_Golems,,,Player has picked up the Imprinting Mote at the bottom of Golem Sanctum.,FALSE
KeyHammerEmpyreanIcePickup,Empyrean_Ice_Propylaeum_Quest,,,Player has picked up the Ice hammer.,FALSE
PrismFragmentIcePickup,Empyrean_Ice_Propylaeum_Quest,,,Player has picked up the Ice Fragment,FALSE
HollowNoteAcademyPickUp,Arcanum_Furniture,,,Player has picked up the HOllow Minion Note,FALSE
HeadoftheMukkirScion_Pickup,Tracking_Grael,,,Player has picked up the Head of the Mukkir Scion,FALSE
HardenedBone_Pickup,Composite_Weapons_Upgrade,,,Player has picked up the Hardened Bone.,FALSE
FossilizedBone_Pickup,Composite_Weapons_Upgrade,,,Player has picked up the Fossilized Bone.,FALSE
KeyHammerEmpyreanFirePickup,Empyrean_Fire_Propylaeum_Quest,,,Player has picked up the Fire hammer.,FALSE
PrismFragmentFirePickup,Empyrean_Fire_Propylaeum_Quest,,,Player has picked up the Fire Fragment,FALSE
DivinerPheraionsKey_Pickup,Pheraion's_Sanctum_Quest,,,Player has picked up the Diviner Pheraions Key,FALSE
BlackTotemShard_Pickup,Splitting_Grael_(Mid),,,Player has picked up the Black Totem Shard,FALSE
AncientBone_Pickup,Composite_Weapons_Upgrade,,,Player has picked up the Ancient Bone.,FALSE
KeyHammerEmpyreanAcidPickup,Empyrean_Acid_Propylaeum_Quest,,,Player has picked up the Acid hammer.,FALSE
PrismFragmentAcidPickup,Empyrean_Acid_Propylaeum_Quest,,,Player has picked up the Acid Fragment,FALSE
SpiketoothsHead_PickupTimer,Putrid_Moar_Kill_Task,,,Player has picked up Spiketooths Head,FALSE
SignetFragmentStinging_Pickup,Four_Corners_of_Dereth,,,Player has picked up Signet Fragment from the Stinging Corner.,FALSE
SignetFragmentFrozen_Pickup,Four_Corners_of_Dereth,,,Player has picked up Signet Fragment from the Frozen Recess.,FALSE
SignetFragmentFiery_Pickup,Four_Corners_of_Dereth,,,Player has picked up Signet Fragment from the Fiery Alcove.,FALSE
SignetFragmentCharged_Pickup,Four_Corners_of_Dereth,,,Player has picked up Signet Fragment from Charged Niche.,FALSE
WhiteTotemShard_Pickup,Splitting_Grael_(Low),,,Player has picked up Shard of the White Totem,FALSE
ShadowShardoftheBlackSpear_Pickup,Splitting_Grael_(Mid),,,Player has picked up Shard of the Black Spear,FALSE
ScrapofShadowEssence_Pickup,Aerbax's_Prodigal_Shadow,,,Player has picked up Scrap of Shadow Essence.,FALSE
RuschkShardoftheBlackSpear_Pickup,Ruschk_Aspect_of_Grael_Quest,,,Player has picked up Ruschk Shard of the Black Spear,FALSE
MenhirRubbleEPickUp,Olthoi_Queen_Quest,,,Player has picked up MenhirRubbleE_xp and cannot pick it up again for one day,FALSE
MenhirRubbleDPickUp,Olthoi_Queen_Quest,,,Player has picked up MenhirRubbleD_xp and cannot pick it up again for one day,FALSE
MenhirRubbleCPickUp,Olthoi_Queen_Quest,,,Player has picked up MenhirRubbleC_xp and cannot pick it up again for one day,FALSE
MenhirRubbleBPickUp,Olthoi_Queen_Quest,,,Player has picked up MenhirRubbleB_xp and cannot pick it up again for one day,FALSE
MenhirRubbleAPickUp,Olthoi_Queen_Quest,,,Player has picked up MenhirRubbleA_xp and cannot pick it up again for one day,FALSE
DeewainLegKeyPickupTimer,Deewain's_Dark_Cavern,,,Player has picked up Legendary Key at end of Deewains,FALSE
LargeMonougaRib_Pickup,Monouga_Feeding_Pit_Quest,,,Player has picked up Large Monouga Rib,FALSE
LargeBagofFood_Pickup,Monouga_Feeding_Pit_Quest,,,Player has picked up Large Bag of Food,FALSE
BraceletIncalescentPickup,Empyrean_Fire_Propylaeum_Quest,,,Player has picked up Incalescent Bracelet,FALSE
HastarsEssence_Pickup,Splitting_Grael_(Mid),,,Player has picked up Hastars Essence,FALSE
GaraktarsBlood_Pickup,Splitting_Grael_(Low),,,Player has picked up Garaktars Blood,FALSE
BraceletGalvanicPickup,Empyrean_Lightning_Propylaeum_Quest,,,Player has picked up Galvanic Bracelet,FALSE
BraceletFrigidPickup,Empyrean_Ice_Propylaeum_Quest,,,Player has picked up Frigid Bracelet,FALSE
FalatacotSoulTrap_Pickup,Shadow_Aspect_of_Grael_Quest,,,Player has picked up Falatacot Soul Trap,FALSE
FalatacotChestKey_Pickup,Shadow_Aspect_of_Grael_Quest,,,Player has picked up Falatacot Chest Key,FALSE
EngravedFalatacotMedallionPickupTimer,Falatacot_Medallion_(High),,,Player has picked up Engraved Falatacot Medallion,FALSE
DeewainRockTrophy0211,Deewain's_Dark_Cavern,,,Player has picked up Energy Infused Rock,FALSE
EnameledFalatacotMedallionPickupTimer,Falatacot_Medallion_(Mid),,,Player has picked up Enameled Falatacot Medallion,FALSE
BraceletEbuillantPickup,Empyrean_Acid_Propylaeum_Quest,,,Player has picked up Ebuillant Bracelet,FALSE
DericostChestKey_Pickup,,,,Player has picked up Dericost Chest Key,FALSE
DecoratedFalatacotMedallionPickupTimer,Falatacot_Medallion_(Low),,,Player has picked up Decorated Falatacot Medallion,FALSE
CorruptedHarbingerBlood_Pickup,Aerbax's_Prodigal_Harbinger,,,Player has picked up Corrupted Harbinger Blood.,FALSE
CartilageofOldScratchy_Pickup,Mi_Krau-Li's_Jitte_Quest,,,Player has picked up Cartilage of Old Scratchy,FALSE
BoshBoshSlayerTokenPickupTimer,Killing_Bosh_Bosh,,,Player has picked up Bosh Bosh Slayer Token,FALSE
StaminaPickUp,Retired,,,Player has picked up an Academy stamina potion,FALSE
ManaPickUp,Retired,,,Player has picked up an Academy mana potion,FALSE
HealthPickUp,Retired,,,Player has picked up an Academy health potion,FALSE
HealingKitPickUp,Retired,,,Player has picked up an Academy healing potion,FALSE
DamagedYalainiTomePickup,Releasing_the_Light,,,Player has picked up a Damaged Yalaini Tome,FALSE
ColoFinalRoomWavesPassed,Advanced_Colosseum_Arena,,,Player has passed a wave in the final room of a Colo Arena,FALSE
ColoWavesPassed,Advanced_Colosseum_Arena,,,Player has passed a wave in a Colo Arena,FALSE
DCAAccess,Derethian_Combat_Arena,,,Player has paid toll to access Derethian Combat Arena,FALSE
EventBanderlingKiller,Retired,,,Player has killed this event boss,FALSE
EventBenTenKiller,Retired,,,Player has killed this event boss,FALSE
EventDrudgeKiller,Retired,,,Player has killed this event boss,FALSE
EventGolemKiller,Retired,,,Player has killed this event boss,FALSE
EventGrievverKiller,Retired,,,Player has killed this event boss,FALSE
EventGromnieKiller,Retired,,,Player has killed this event boss,FALSE
EventHighSclavusKiller,Retired,,,Player has killed this event boss,FALSE
EventHighSkeletonKiller,Retired,,,Player has killed this event boss,FALSE
EventMidSclavusKiller,Retired,,,Player has killed this event boss,FALSE
EventMidSkeletonKiller,Retired,,,Player has killed this event boss,FALSE
EventMosswartKiller,Retired,,,Player has killed this event boss,FALSE
EventReedsharkKiller,Retired,,,Player has killed this event boss,FALSE
EventShadowKiller,Retired,,,Player has killed this event boss,FALSE
EventThorstenKiller,Retired,,,Player has killed this event boss,FALSE
EventTumerokKiller,Retired,,,Player has killed this event boss,FALSE
EventVirindiKiller,Retired,,,Player has killed this event boss,FALSE
EventZharalimKiller,Retired,,,Player has killed this event boss,FALSE
EventKiller,Retired,,,Player has killed one of the Event Statues.,FALSE
FirstSpawnComplete,,,,Player has killed first Spawn,FALSE
DireChampSkeleton,Dire_Champions,,,Player has killed Dire Champion Skeleton.,FALSE
SummoningCrystalCount,Defeating_the_Curator_of_Torment,,,Player has killed a summoning crystal.,FALSE
CloneKillerMid,Retired,,,Player has killed a midreplica statue and can enter the low statue dungeon.,FALSE
IsinDuleLtKilled,Shield_of_Isin_Dule_Quest,,,Player has killed a Lt in Spawn,FALSE
CloneKillerLow,Retired,,,Player has killed a low replica statue and can enter the low statue dungeon.,FALSE
CloneKillerHigh,Retired,,,Player has killed a high replica statue and can enter the low statue dungeon.,FALSE
GearknightKilled,Retired,,,Player has killed a Gearknight,FALSE
CloneKillerExtreme,Retired,,,Player has killed a extreme replica statue and can enter the low statue dungeon.,FALSE
TwistedRefugeKillCount,Geraine's_Hosts,,,Player has killed a crystal in Twisted Refuge.,FALSE
ShieldQuestSpawnKilled,Shield_of_Isin_Dule_Quest,,,Player has killed a critter in Spawn,FALSE
DericostQuestSpawnKilled,,,,Player has killed a critter in Dericost,FALSE
WaveKillCount,,,,Player has killed a creature in the room.,FALSE
RynthidGenesisKillCount,Rynthid_Foothold,,,Player has killed a creature in Rynthid Genesis.,FALSE
VeryMadCowWave1CrittersKilled,Colosseum_Bosses,,,Player has killed a creature found in Very Mad Cow,FALSE
VeryMadCowWave2CrittersKilled,Colosseum_Bosses,,,Player has killed a creature found in Very Mad Cow,FALSE
ThunderChickenCrittersKilled,Colosseum_Bosses,,,Player has killed a creature found in Thunder Chicken,FALSE
TheMasterCrittersKilled,Colosseum_Bosses,,,Player has killed a creature found in The Master,FALSE
StoneFistsCrittersKilled,Colosseum_Bosses,,,Player has killed a creature found in Stone Fist,FALSE
PumpkinKingCrittersKilled,Colosseum_Bosses,,,Player has killed a creature found in Pumpkin King,FALSE
KillagurgCrittersKilled,Colosseum_Bosses,,,Player has killed a creature found in Killagurg,FALSE
GYColoMobKilled,Lord_Mhoire_Quest,,,Player has killed a creature found in GY Colo,FALSE
DemonSwarmMatronCrittersKilled,Colosseum_Bosses,,,Player has killed a creature found in Demon Swarm Matron,FALSE
AzaxisCrittersKilled,Colosseum_Bosses,,,Player has killed a creature found in Azaxis,FALSE
ColoCrittersKilled,Colosseum_Bosses,,,Player has killed a creature found in a Colo Arena,FALSE
SocietyMember,Investigating_the_Societies,,,Player has joined a society,FALSE
IllGottenRewards3,The_Callous_Heart_Quest_(Low),,,Player has handed a reward gem to Kai and has two more trips.,FALSE
EssenceRecovered,,,,Player has gotten essence from the essence font.,FALSE
GaerlanCrit,Gaerlan's_Citadel,,,Player has gone through the portal to the inner sanctum.,FALSE
GaerlanKiller,Gaerlan's_Citadel,,,Player has gone through the portal to the inner sanctum.,FALSE
GAVELETTERTHORSTENARMOR4COPY,Thorsten_Cragstone's_Armor_&_Axe,,,Player has given this letter in exchange for xp,FALSE
GearReedsharkGiven,Bronze_Statues_Quest,,,Player has given this gear and cannot give another for one day.,FALSE
GaerlanPreamble,Gaerlan's_Citadel,,,Player has given the ornate seal to the ornate pillar,FALSE
GivenBlindSnowmanPeppermint,Non-quest,,,Player has given the Blind Snowman Peppermint.,FALSE
TURNEDINNUTBOLT,Bronze_Statues_Quest,,,Player has given Slithe nut and bolt,FALSE
DiseasedPolarLiver_Completed,Carenzi_Plague,,,Player has found 4 Diseased Polar Carenzi Livers.,FALSE
DiseasedStalkerLiver_Completed,Carenzi_Plague,,,Player has found 35 Diseased Stalker Carenzi Livers.,FALSE
DiseasedFeralLiver_Completed,Carenzi_Plague,,,Player has found 30 Diseased Feral Carenzi Livers.,FALSE
DiseasedMangyLiver_Completed,Carenzi_Plague,,,Player has found 20 Diseased Mangy Carenzi Livers.,FALSE
DiseasedCarnivorousLiver_Completed,Carenzi_Plague,,,Player has found 15 Diseased Carnivorous Carenzi Livers.,FALSE
DiseasedTaintedLiver_Completed,Carenzi_Plague,,,Player has found 13 Diseased Tainted Carenzi Livers.,FALSE
HarbingerWarrior,Harbinger,,,Player has fought against Harbinger and made a difference.,FALSE
ProvingGroundsRollingDeath,Gaerlan's_Citadel,,,Player has finished the rolling death room,FALSE
ProvingGroundsComplete,Gaerlan's_Citadel,,,Player has finished the proving grounds,FALSE
AreaCAcademyComplete,Retired,,,Player has finished the last area of the Training Academy.,FALSE
GaerlanDefeated,Gaerlan's_Citadel,,,Player has finished the Gaerlan quest and can receive a reward.,FALSE
RecruitSent,Retired,,,Player has finished all quests in Area B Senior Guard has sent him to Area C.,FALSE
DeewainBossRoomFlag,Deewain's_Dark_Cavern,,,Player has entered Deewains Chamber,FALSE
LetterTsaya2Given,Elysa's_Favor_Quest,,,Player has delivered the full letter to Tsaya.,FALSE
DericostWave4Complete,,,,Player has completed Wave 4,FALSE
DericostWave3Complete,,,,Player has completed Wave 3,FALSE
DericostWave2Complete,,,,Player has completed Wave 2,FALSE
DericostWave1Complete,,,,Player has completed Wave 1,FALSE
TrackingGrael_Wait,Tracking_Grael,,,Player has completed Tracking Grael Quest,FALSE
IsparianArmsComplete,Isparian_Weapons_Quest,Might be retired...,,Player has completed the steps to collect the IsparianArms,FALSE
ratcatcherquestcompleted,Rat_Catcher,,,Player has completed the Rat Catcher Quest.,FALSE
ArcanumAlchemistSpoken3,Isparian_Weapons_Quest,Might be retired...,,Player has completed the Isparian Arms quest and is starting again.,FALSE
FourCornersCompleted_1113,Four_Corners_of_Dereth,,,Player has completed the Four Corners quest.,FALSE
ProvingGroundsFloorWalk,Gaerlan's_Citadel,,,Player has completed the floor walk,FALSE
EmpyreanRescueCompleted_1010,Empyrean_Rescue_Quest,,,Player has completed the Empyrean Rescue Quest,FALSE
LadySherathVineCollectionCompleted_0612,Researching_the_Lost_Rituals,,,Player has completed the collection of Vines for Lady Sherath,FALSE
LadyMashalFlowerCollectionCompleted_0612,Researching_the_Lost_Rituals,,,Player has completed the collection of flowers for Lady Mashal,FALSE
SplitGraelMidComplete0806,Splitting_Grael_(Mid),,,Player has completed Splitting Greal Mid,FALSE
SplitGraelLowComplete0806,Splitting_Grael_(Low),,,Player has completed Splitting Grael Low Quest,FALSE
ShadowAspectofGrael_Wait,Shadow_Aspect_of_Grael_Quest,,,Player has completed Shadow Aspect of Grael Quest,FALSE
RuschkAspectofGrael_Wait,Ruschk_Aspect_of_Grael_Quest,,,Player has completed Ruschk Aspect of Grael Quest,FALSE
RemasteredJitteCompleted,Mi_Krau-Li's_Jitte_Quest,,,Player has completed Remastered Jitte Quest,FALSE
BulbofMornings_Flag,Harvesting_the_Bulb_of_Mornings,,,Player has completed Releasing the Light quest.,FALSE
PheraionsSanctumQuest_Wait,Pheraion's_Sanctum_Quest,,,Player has completed Pheraions Sanctum Quest,FALSE
RECEIVEDTHORSTENAXE,Thorsten_Cragstone's_Armor_&_Axe,,,Player has completed obtaining replica of Thorsten's Axe,FALSE
HoshinoMustDie_Flag,Defeat_Hoshino_Kei,,,Player has completed Harvesting the Twilight Bulb quest.,FALSE
ThirdSisterCompleted_1212,Harvesting_the_Bulb_of_Twilight,,,Player has completed Harvesting the Bulb of Twilight quest.,FALSE
BulbofHarvests_Flag,Harvesting_the_Bulb_of_Mornings,,,Player has completed Harvesting the Bulb of Mornings quest.,FALSE
FirstSisterCompleted_1012,Harvesting_the_Bulb_of_Mornings,,,Player has completed Harvesting the Bulb of Mornings quest.,FALSE
BulbofTwilight_Flag,Harvesting_the_Bulb_of_Harvests,,,Player has completed Harvesting the Bulb of Harvests quest.,FALSE
SecondSisterCompleted_1112,Harvesting_the_Bulb_of_Harvests,,,Player has completed Harvesting the Bulb of Harvests quest.,FALSE
VisionQuestRepeat1007,Delving_into_Claude's_Mind,,,Player has completed Delving into Claudes Mind once.,FALSE
GiftGopher_ListsComplete,Package_Delivery,,,Player has completed all three lists.,FALSE
ProdigalShadowRepeat,Aerbax's_Prodigal_Shadow,,,Player has completed Aerbaxs Prodigal Shadow at least once.,FALSE
ProdigalHumanRepeat_1107,Aerbax's_Prodigal_Shadow,,,Player has completed Aerbaxs Prodigal Human at least once,FALSE
BloodJewelLowPickedUp,The_Callous_Heart_Quest_(Low),,,Player has collected the low Blood Jewel.,FALSE
DecantersCollected,,,,Player has collected an essence decanter.,FALSE
YalainBookGiven,,,,Player has been given the Yalain books,FALSE
BulbofHarvestsSeedGiven,Harvesting_the_Bulb_of_Harvests,,,Player has been given the Seed of Essence.,FALSE
BulbofMorningsSeedGiven,Harvesting_the_Bulb_of_Mornings,,,Player has been given the Seed of Essence.,FALSE
DericostTomesGiven,,,,Player has been given the dericost books,FALSE
deviceroomportalflag,,,,Player has been flagged to use Portal,FALSE
DefeatedJexkiKi,Retired,,,Player has assisted in killing Jexki Ki.,FALSE
DefeatedIbrexiJikti,Retired,,,Player has assisted in killing Ibrexi Jikti.,FALSE
GotRealaidainRaiment,Retired,,,Player has already received the Realaidain Raiment.,FALSE
HadFishingLicense,Fishing,,,Player has already gotten a fishing license at least once.,FALSE
HaveFishingLicense,Fishing,,,Player has a fishing license.,FALSE
NodeGolemTurnIns,Tainted_Ley_Line_Nodes,,,Player handed in Blighted Mana Crystal To Node Golem,FALSE
FurgalMushroomTurnInMax,Non-quest,,,Player handed in 200 Mushrooms to Furgal,FALSE
QueenElysaInDangerGaveYuudaiBow,Queen_Elysa_in_Danger,,,Player gave Yuudai the Bow,FALSE
SacrificedNuhmudira,Gelidite_Library_Quest,,,Player gave their life for Nuhmudira.,FALSE
DeewainGaveNote_0411,Retired,,,Player gave note to Deewain.,FALSE
SparklingPortalFlag_0910,Empyrean_Rescue_Quest,,,Player flag to use Sparkling Portal,FALSE
WhiteTotemTemple_Flag,Splitting_Grael_(Low),,,Player flag for White Totem Gateway,FALSE
ProdigalShadowFlag,Aerbax's_Prodigal_Shadow,,,Player flag for upper Teleport Statue.,FALSE
GauntletStage5a_Flag,Gauntlet,,,Player flag for Stage 5 A.,FALSE
FourCornersRecluseFlag_1113,Four_Corners_of_Dereth,,,Player flag for Sanctuary of the Recluse.,FALSE
GauntletBossTrembOrh_Flag,Gauntlet,,,Player flag for Gauntlet Boss Tremb Orh.,FALSE
GauntletBossHolcha_Flag,Gauntlet,,,Player flag for Gauntlet Boss Holcha.,FALSE
GauntletBossGromnusChampion_Flag,Gauntlet,,,Player flag for Gauntlet Boss Gromnus Champion.,FALSE
ColoredPortalLeverPullCompleted,Rynthid_Training,,,Player flag for completing lever pull successfully in Rynthid Assessment.,FALSE
ColoredPortal1Blue,Rynthid_Training,,,Player flag for colored portal in Rynthid Assessment.,FALSE
ColoredPortal1Green,Rynthid_Training,,,Player flag for colored portal in Rynthid Assessment.,FALSE
ColoredPortal1Orange,Rynthid_Training,,,Player flag for colored portal in Rynthid Assessment.,FALSE
ColoredPortal1Red,Rynthid_Training,,,Player flag for colored portal in Rynthid Assessment.,FALSE
ColoredPortal1White,Rynthid_Training,,,Player flag for colored portal in Rynthid Assessment.,FALSE
ColoredPortal1Yellow,Rynthid_Training,,,Player flag for colored portal in Rynthid Assessment.,FALSE
ColoredPortal2Blue,Rynthid_Training,,,Player flag for colored portal in Rynthid Assessment.,FALSE
ColoredPortal2Green,Rynthid_Training,,,Player flag for colored portal in Rynthid Assessment.,FALSE
ColoredPortal2Orange,Rynthid_Training,,,Player flag for colored portal in Rynthid Assessment.,FALSE
ColoredPortal2Red,Rynthid_Training,,,Player flag for colored portal in Rynthid Assessment.,FALSE
ColoredPortal2White,Rynthid_Training,,,Player flag for colored portal in Rynthid Assessment.,FALSE
ColoredPortal2Yellow,Rynthid_Training,,,Player flag for colored portal in Rynthid Assessment.,FALSE
ColoredPortal3Blue,Rynthid_Training,,,Player flag for colored portal in Rynthid Assessment.,FALSE
ColoredPortal3Green,Rynthid_Training,,,Player flag for colored portal in Rynthid Assessment.,FALSE
ColoredPortal3Orange,Rynthid_Training,,,Player flag for colored portal in Rynthid Assessment.,FALSE
ColoredPortal3Red,Rynthid_Training,,,Player flag for colored portal in Rynthid Assessment.,FALSE
ColoredPortal3White,Rynthid_Training,,,Player flag for colored portal in Rynthid Assessment.,FALSE
ColoredPortal3Yellow,Rynthid_Training,,,Player flag for colored portal in Rynthid Assessment.,FALSE
ColoredPortal4Blue,Rynthid_Training,,,Player flag for colored portal in Rynthid Assessment.,FALSE
ColoredPortal4Green,Rynthid_Training,,,Player flag for colored portal in Rynthid Assessment.,FALSE
ColoredPortal4Orange,Rynthid_Training,,,Player flag for colored portal in Rynthid Assessment.,FALSE
ColoredPortal4Red,Rynthid_Training,,,Player flag for colored portal in Rynthid Assessment.,FALSE
ColoredPortal4White,Rynthid_Training,,,Player flag for colored portal in Rynthid Assessment.,FALSE
ColoredPortal4Yellow,Rynthid_Training,,,Player flag for colored portal in Rynthid Assessment.,FALSE
ColoredPortal5Blue,Rynthid_Training,,,Player flag for colored portal in Rynthid Assessment.,FALSE
ColoredPortal5Green,Rynthid_Training,,,Player flag for colored portal in Rynthid Assessment.,FALSE
ColoredPortal5Orange,Rynthid_Training,,,Player flag for colored portal in Rynthid Assessment.,FALSE
ColoredPortal5Red,Rynthid_Training,,,Player flag for colored portal in Rynthid Assessment.,FALSE
ColoredPortal5White,Rynthid_Training,,,Player flag for colored portal in Rynthid Assessment.,FALSE
ColoredPortal5Yellow,Rynthid_Training,,,Player flag for colored portal in Rynthid Assessment.,FALSE
DiseasedTaintedLiver_Counter,Carenzi_Plague,,,Player Diseased Tainted Carenzi Liver Counter.,FALSE
DiseasedStalkerLiver_Counter,Carenzi_Plague,,,Player Diseased Stalker Carenzi Liver Counter.,FALSE
DiseasedPolarLiver_Counter,Carenzi_Plague,,,Player Diseased Polar Carenzi Liver Counter.,FALSE
DiseasedMangyLiver_Counter,Carenzi_Plague,,,Player Diseased Mangy Carenzi Liver Counter.,FALSE
DiseasedFeralLiver_Counter,Carenzi_Plague,,,Player Diseased Feral Carenzi Liver Counter.,FALSE
DiseasedCarnivorousLiver_Counter,Carenzi_Plague,,,Player Diseased Carnivorous Carenzi Liver Counter.,FALSE
ColoredPortal,Rynthid_Training,,,Player counter for how many portals entered in Rynthid Assessment.,FALSE
ColoredPortalLeverPull,Rynthid_Training,,,Player counter for how many levers pulled in Rynthid Assessment.,FALSE
GiftGopher_Count,Package_Delivery,,,Player count for Package Delivery.,FALSE
CarenziPlagueStarted,Carenzi_Plague,,,Player count down timer for Diseased Livers.,FALSE
QueenElysaInDangerCompleted,Queen_Elysa_in_Danger,,,Player cooldown for Queen Elysa in Danger,FALSE
RynthidAssessmentCompleted_1013,Rynthid_Training,,,Player cooldown for completing Rynthid Assessment.,FALSE
GauntletStage9Complete,Gauntlet,,,Player completed Stage 9 in Gauntlet.,FALSE
GauntletStage8Complete,Gauntlet,,,Player completed Stage 8 in Gauntlet.,FALSE
GauntletStage7Complete,Gauntlet,,,Player completed Stage 7 in Gauntlet.,FALSE
GauntletStage6Complete,Gauntlet,,,Player completed Stage 6 in Gauntlet.,FALSE
GauntletStage12Complete,Gauntlet,,,Player completed Stage 12 in Gauntlet.,FALSE
GauntletStage11Complete,Gauntlet,,,Player completed Stage 11 in Gauntlet.,FALSE
GauntletStage10Complete,Gauntlet,,,Player completed Stage 10 in Gauntlet.,FALSE
